show_id,show_name,show_genre,show_plot,show_link,show_rating
t1,Twin Peaks,"Crime, Drama, Mystery",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_QL50_SY1000_CR0,0,781,1000_AL_.jpg",8.8
t2,Planet Earth,Documentary,"David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.
","https://m.media-amazon.com/images/M/MV5BZWYxODViMGYtMGE2ZC00ZGQ3LThhMWUtYTVkNGE3OWU4NWRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL50_SY1000_CR0,0,666,1000_AL_.jpg",9.5
t3,Game of Thrones," Action, Adventure, Drama ","Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_QL50_SY1000_CR0,0,674,1000_AL_.jpg",9.4
t4,Breaking Bad,"Crime, Drama, Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL50_SY1000_CR0,0,718,1000_AL_.jpg",9.4
t5,The Wire,"Crime, Drama, Thriller ","Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.","https://m.media-amazon.com/images/M/MV5BNjc1NzYwODEyMV5BMl5BanBnXkFtZTcwNTcxMzU1MQ@@._V1_QL50_SY1000_CR0,0,735,1000_AL_.jpg",9.3
t6,Rick and Morty,"Animation, Adventure, Comedy ",An animated series that follows the exploits of a super scientist and his not-so-bright grandson,https://m.media-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL50_.jpg,9.2
t7,The Sopranos,"Crime, Drama ","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL50_SY1000_CR0,0,702,1000_AL_.jpg",9.2
t8,The World at War,"Documentary, History, War","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","https://m.media-amazon.com/images/M/MV5BYzExN2NhZDctOWEzMy00NzYwLTg3MDktNjYyNTQyOWY4MGYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL50_SY1000_CR0,0,722,1000_AL_.jpg",9.1
t9,Avatar: The Last Airbender,"Animation, Action, Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",https://m.media-amazon.com/images/M/MV5BNzZlZmQyYTgtOWNmMy00NTNhLTgyOTYtNjhiOTllOGU2MDg5XkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_QL50_.jpg,9.2
t10,Sherlock,"Crime, Drama, Mystery ",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_QL50_.jpg,9.1
t11,The Vietnam War,"Documentary, History, War",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,https://m.media-amazon.com/images/M/MV5BYWQ4ZGFhYmUtNDVhNC00N2VkLWIzYTQtOTk5ZTI1NWU2YjNlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL50_.jpg,9
